step,objective,compliance,mass,grad_norm,proj_grad_norm,web_thickness,rib_height,plate_thickness,grad_web_thickness,grad_rib_height,grad_plate_thickness,remeshed,eval_seconds
0,17.441586913934156,16.164213725459305,1.277373188474851,272.20045025837965,272.20045025837965,0.16,0.88,0.2,-41.86650530877599,-1.6202700672735886,-268.95660538273444,0,4.007
1,16.38050136860562,15.030766514788223,1.3497348538173994,237.09453167249916,237.09453167249916,0.1749999999964172,0.8949999999074228,0.2149999999994423,-21.002627868027005,-1.145765106726773,-236.159678594715,0,3.816
2,13.224049546242584,11.802311725701726,1.4217378205408584,178.2749898416564,178.2749898416564,0.1889899520891872,0.9096517815032796,0.2299178109955513,-8.824145413917549,-0.6670276144087413,-178.0552204652207,0,3.898
3,10.906903087916369,9.416826745135511,1.4900763427808579,132.87753994675066,132.87753994675066,0.20139249900535158,0.9234417767505403,0.24451132163547906,-2.827192926263008,-0.39370706930195964,-132.84687650525166,0,3.91
4,9.229862303928359,7.676966343219871,1.5528959607084867,104.20296820190393,104.20296820190393,0.21205088782488524,0.9361556124640306,0.2586059098419761,0.22052473692201963,-0.23839650743160073,-104.2024621495704,0,3.796
5,8.029990579972342,6.418416696016397,1.6115738839559457,80.79968007784156,80.79968007784156,0.22102169916301412,0.9477463504755942,0.2721370565133464,2.280864395505684,-0.12212921390178683,-80.76738848536563,0,3.771
6,6.796640165589082,5.131559615239669,1.6650805503494126,65.46762109676995,65.46762109676995,0.22836995517759073,0.9581662871048325,0.2850372248973709,6.355868733380128,-0.035877072702812776,-65.15835370503105,1,11.436
7,6.110609729462944,4.39792355831706,1.712686171145884,52.17147666596588,52.17147666596588,0.23372697117640576,0.967392030735744,0.2972934387779901,5.907947604170709,-0.0069675877492772365,-51.83588606425588,0,4.428
8,5.9959545855351335,4.267736179724876,1.7282184058102574,50.24292385239401,6.17263346411725,0.23750697956936911,0.9755492410426482,0.3,6.172633432309468,0.0006266382960623007,-49.86231034915172,0,4.609
9,6.011168189126506,4.278255208913029,1.7329129802134777,50.49969013959898,6.487645668972514,0.23990820590640508,0.9827885424399633,0.3,6.487645085784846,0.0027508234317149965,-50.08122560270837,0,4.747
10,6.018845213471049,4.283412807832409,1.7354324056386394,50.62238075171754,6.639527962113564,0.2410743257947843,0.9892401000943888,0.3,6.63952656760075,0.0043032327019436045,-50.18507847370745,0,4.735
11,6.019313288502339,4.283313272761831,1.7360000157405084,50.620675610861795,6.6506862833098745,0.24114228784209715,0.9950073360873095,0.3,6.650686057286146,0.001733904777576401,-50.181880905971354,0,4.703
12,8.855883196362166,7.121032651135974,1.7348505452261922,89.92712984370931,27.37971845596996,0.24024304658181372,1.0001869988812753,0.3,27.372088588118633,-0.6463350929415604,-85.65768908392971,1,14.577
13,8.738313034159043,7.010135169463377,1.7281778646956671,88.18571768232762,26.836880622669227,0.23606089936099753,1.0067508704549764,0.3,26.82923502900053,-0.640553911899765,-84.0029918609557,0,4.77
14,8.638781612727643,6.92111898978142,1.7176626229462217,85.9057340838131,25.438367100316068,0.22955279334995088,1.0144530843282342,0.3,25.43828843186529,-0.06326442658880164,-82.05293795927338,0,10.831
15,8.4351909885869,6.7309159535332945,1.704275035053605,82.70217295641396,24.272058202607045,0.2213608142103772,1.0216196540169575,0.3,24.2719633649923,-0.06785130224073471,-79.06020871666014,0,14.753
16,8.212881731850292,6.524189521326191,1.688692210524101,79.03556149800848,22.575162889064593,0.21189958912114273,1.0283262290044695,0.3,22.575014649500766,-0.08181101774842851,-75.7428676631515,0,17.196
17,7.988643607287934,6.317122641442088,1.671520965845846,75.10949513978633,20.353413427030326,0.2014975230087691,1.0346680140402598,0.3,20.353184342097155,-0.0965674284093254,-72.29920346741012,0,9.222
18,5.527000451268595,3.873651813515586,1.6533486377530087,44.74143169670842,2.244307227617072,0.19043508985689925,1.0407325770434974,0.3,-2.2437591715036684,-0.04959548595789235,-44.68510708658188,1,10.859
19,5.518787243733922,3.8814363903431284,1.637350853390793,44.41463344786218,4.661967360404734,0.1806012911468337,1.0464039379254944,0.3,-4.661368079608104,-0.07474821663250882,-44.16928485541145,0,4.27
20,4.82113634383119,3.1973491198575377,1.6237872239736524,36.27992314759472,7.769335783800212,0.17212702056808848,1.0518037250767247,0.3,-7.768815762693122,-0.08988974785444132,-35.43825962253142,0,4.105
21,4.87955265324844,3.2667775945769626,1.6127750586714773,37.024064863435584,9.360958825384637,0.16521351903929257,1.057010598849332,0.3,-9.360145466552082,-0.1233976317885754,-35.82113662185134,0,4.222
22,4.932413944200246,3.3279531176693804,1.6044608265308657,37.7530372487081,10.835918416303048,0.15988343754352202,1.0621557835023623,0.3,-10.834920133489119,-0.14708373699260127,-36.16455023330949,0,4.331
23,4.97435833120803,3.3755608931155434,1.598797438092487,38.35713563003665,12.016239445419004,0.15614102668120955,1.06732751716571,0.3,-12.015573504203122,-0.12650602647900688,-36.426361928298356,0,4.27
24,5.0240379802009985,3.4283415081574575,1.5956964720435407,39.18235549155224,12.854827359447427,0.15395336264967288,1.072461983211166,0.3,-12.852969069265448,-0.2185693155586853,-37.013651473816736,1,41.832
